"hour_id","4850303_0_cu_ul_flow_mbyte","4850303_0_ct_ul_flow_mbyte","4850303_0_cu_dl_flow_mbyte","4850303_0_ct_dl_flow_mbyte","4850303_1_cu_ul_flow_mbyte","4850303_1_ct_ul_flow_mbyte","4850303_1_cu_dl_flow_mbyte","4850303_1_ct_dl_flow_mbyte","4850303_2_cu_ul_flow_mbyte","4850303_2_ct_ul_flow_mbyte","4850303_2_cu_dl_flow_mbyte","4850303_2_ct_dl_flow_mbyte","4850319_0_cu_ul_flow_mbyte","4850319_0_ct_ul_flow_mbyte","4850319_0_cu_dl_flow_mbyte","4850319_0_ct_dl_flow_mbyte","4850319_1_cu_ul_flow_mbyte","4850319_1_ct_ul_flow_mbyte","4850319_1_cu_dl_flow_mbyte","4850319_1_ct_dl_flow_mbyte","4850319_2_cu_ul_flow_mbyte","4850319_2_ct_ul_flow_mbyte","4850319_2_cu_dl_flow_mbyte","4850319_2_ct_dl_flow_mbyte","4850319_6_cu_ul_flow_mbyte","4850319_6_ct_ul_flow_mbyte","4850319_6_cu_dl_flow_mbyte","4850319_6_ct_dl_flow_mbyte","4850319_7_cu_ul_flow_mbyte","4850319_7_ct_ul_flow_mbyte","4850319_7_cu_dl_flow_mbyte","4850319_7_ct_dl_flow_mbyte","4850319_8_cu_ul_flow_mbyte","4850319_8_ct_ul_flow_mbyte","4850319_8_cu_dl_flow_mbyte","4850319_8_ct_dl_flow_mbyte","4857676_129_cu_ul_flow_mbyte","4857676_129_ct_ul_flow_mbyte","4857676_129_cu_dl_flow_mbyte","4857676_129_ct_dl_flow_mbyte"
"2023010110","7.45866","0.80078","117.23052","31.93294","107.04366","68.33849","2963.03971","570.89932","446.78633","15.90474","618.02729","441.05104","3.04249","0.18436","206.50994","0.25011","74.36092","19.93042","741.90052","567.60436","20.44925","16.02461","955.49502","782.48942","79.42143","287.10532","995.0981","967.82062","97.62364","42.96757","974.15625","618.71079","199.94119","199.26823","1734.30719","2495.5407","0","0","0","0"
"2023010111","0","0","0","0","17.57074","6.55839","358.33021","57.03131","127.16361","2.09813","301.74081","38.7799","0","0","0","0","135.4195","46.00348","814.28419","354.51105","20.63998","7.55144","554.39417","49.82706","25.28996","31.31218","887.57844","1024.29736","51.88629","13.55264","887.543","251.81538","153.57038","54.21808","2054.82873","1516.91255","0","0.0019","0","0.00035"
"2023010112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.28825","2.39568","61.16225","19.51753","46.264","6.67429","380.02044","9.06206","12.14662","5.34907","181.88581","129.62046","55.61119","2.50206","1165.26131","6.05368","22.15869","27.14245","112.02471","898.11726","0","0","0","0"
"2023010113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.80876","7.44033","86.001","34.4689","0.65407","0.63429","4.97531","0.63248","6.47822","9.92187","10.2927","220.96498","11.67757","19.0218","55.59984","404.21265","27.57737","27.0132","528.31789","1051.20938","0","0","0","0"
"2023010114","15.0178","1.45838","296.56621","9.76094","129.40414","9.04177","317.69893","204.22025","6.2799","1.01851","45.23687","4.32283","21.09069","2.37167","68.98182","58.07459","20.07538","6.26673","557.89265","42.0083","14.50354","4.81921","584.20112","75.57331","7.27563","8.85474","84.28972","240.74757","40.75177","17.80051","681.01954","428.3849","82.7048","59.98638","2029.27208","1100.66712","0","0","0","0"
"2023010115","32.43206","7.34218","719.76443","53.87969","102.74105","25.97042","613.4547","176.48933","11.38631","13.511","152.18607","95.59472","9.08709","7.84519","121.22723","367.63711","70.07521","29.50593","798.65322","281.38256","37.43186","13.79146","499.22229","421.15027","62.33661","44.784","320.06827","1097.09563","59.5014","42.28216","750.92721","601.13933","151.02227","132.0964","3292.24326","3586.07081","0","0.00692","0","1.41614"
"2023010116","20.63646","8.16431","196.34742","122.53282","246.35932","173.51863","2235.40851","1288.5486","65.23086","12.14581","871.18102","120.58114","36.50323","42.90269","715.08914","1112.05125","76.09529","64.62488","1690.69549","1043.75378","126.16611","34.80025","1588.62722","1107.4658","138.01009","88.67326","397.18221","421.36801","128.87105","226.99363","778.46411","2132.51218","833.98808","353.92001","6133.58328","4185.16508","4.35899","5.10432","10.83625","31.18202"
"2023010117","79.55121","17.76655","797.60344","450.68271","342.79947","227.47146","2634.48683","1494.9755","77.89769","37.76716","1380.48801","1252.43819","105.47666","31.28651","1897.33683","766.10404","80.80578","59.49695","1966.1658","566.29214","64.75386","36.60684","884.85556","1137.10171","94.16196","47.85645","1709.12033","595.66993","215.54248","149.80176","1243.67797","1989.62122","461.96808","287.1405","9717.09542","3030.68078","20.50364","6.3502","110.67418","42.75368"
"2023010118","128.39425","24.72177","517.25508","385.59047","606.36499","554.76656","4540.21509","2038.50676","65.44927","78.81894","838.83214","1416.92131","79.69847","276.35717","1574.85173","731.70548","365.36654","48.06417","1067.7592","669.17129","196.96548","43.70854","1832.34133","721.56834","109.38976","174.0227","1083.71115","1222.67245","157.1413","263.60587","1351.02493","3270.72076","965.89754","352.83641","7975.38332","4844.31255","12.98302","20.26712","249.32982","242.27324"
"2023010119","143.71838","20.22322","1393.75516","309.81246","373.10148","203.47399","5758.30844","2793.59992","126.46709","63.87818","1450.72447","1354.50625","166.57978","91.69527","2313.59645","316.45041","138.13386","46.35927","1508.61665","818.483","246.93043","141.24063","1472.99212","761.42223","140.15027","476.98035","987.76534","3234.29487","220.22434","403.14116","1879.93088","3552.33859","577.45094","471.44109","7010.74256","5814.83578","15.5567","182.08504","448.99319","192.7465"
"2023010120","31.00168","20.95145","241.13096","356.49044","754.42402","375.92536","4286.29747","2987.34794","59.05676","50.6221","778.59812","535.15348","260.00276","426.38579","2445.82968","1173.31239","366.59589","91.91013","2260.16017","1547.09292","208.31938","411.86762","2403.59582","1490.70368","196.99991","122.69682","1412.80083","3707.89087","321.49025","297.81004","4235.74219","3089.79808","451.79998","487.77773","6244.68234","5755.3714","4.86293","24.20992","48.61552","353.67962"
"2023010121","27.67642","9.14917","521.17081","144.29413","966.00793","162.10404","3326.78427","7771.67328","63.38387","66.63161","1383.56909","678.74427","122.2943","190.99878","2237.81773","2363.13404","155.24272","54.52339","1764.00271","1141.98662","86.66719","188.88691","798.67615","1012.88148","212.18497","395.02155","2371.03484","3417.39211","458.48131","253.97293","3934.86749","3901.30648","1055.8676","622.65742","7044.64151","4794.51149","12.21464","9.35487","135.82582","184.69143"
"2023010122","82.43079","17.91316","664.12659","320.09396","612.98142","167.98405","4104.06464","2864.62189","241.49537","81.67636","1748.89416","1833.35333","163.5595","465.31032","3247.52782","2638.86764","119.66928","58.88393","2033.42416","676.017","131.93469","62.51909","1960.48677","1261.63663","343.30666","98.17245","3875.50621","931.09128","289.77974","222.49915","4103.74762","3754.16121","917.55241","591.59738","7926.2399","5426.72055","24.401","14.20901","299.68003","201.38611"
"2023010123","63.07561","10.25087","729.59749","175.63605","508.79424","324.40833","4788.97519","3405.19895","120.87334","59.4848","1758.0986","987.69811","370.26679","248.39382","3284.02809","2619.54442","123.94705","94.49469","1096.68193","1160.839","100.7639","94.19063","1205.91889","1571.92177","289.16882","183.63487","3568.02703","1412.49726","470.05674","249.38784","3243.3878","2171.30871","673.23133","590.10708","8659.37108","7099.20494","16.39347","26.55093","471.67932","476.84442"
"2023010200","100.05492","55.52372","1792.34671","177.67505","1022.02766","263.34684","6506.58084","2262.65292","184.61761","94.05571","2696.07227","1335.56258","161.61449","77.24615","2873.82503","1179.41786","129.31965","86.79389","1227.2558","1230.79304","149.21311","114.17725","1929.96478","1641.05871","281.8427","124.58379","2072.22982","1163.55211","328.27709","850.71061","2081.34787","3258.68304","1468.19209","405.56931","14055.03391","5550.18776","72.84744","37.2607","146.50137","222.37956"
"2023010201","73.01419","45.92475","2788.87991","319.10854","958.16169","511.89423","5204.72114","3010.94238","164.6833","89.64018","1503.31501","1501.86048","121.01773","231.67157","2457.33959","1847.09135","138.16905","80.25058","1296.15734","1065.90286","194.8172","76.59034","1322.54761","1500.25606","173.10617","96.62078","2166.24544","1260.35363","332.3883","846.70253","2048.99415","2895.97714","1589.80955","375.84786","8234.95137","6179.11761","55.54034","26.74259","249.20187","343.68401"
"2023010202","105.19214","54.98465","560.6261","101.34751","641.66395","675.34138","6919.70973","4628.32157","648.42151","58.21776","1439.90612","261.73035","434.76921","211.2554","3184.60909","1057.92224","116.12481","49.87237","1420.57297","915.0091","114.1547","559.03363","880.97538","1868.07229","219.22146","114.24813","920.22544","1614.83894","439.18794","705.92832","2847.27397","2900.69115","733.86816","546.1279","4383.67613","5640.197","93.97232","24.55738","688.21875","449.31805"
"2023010203","181.58284","12.32343","1451.41296","55.17917","255.71763","548.3508","3865.78662","3169.61912","185.451","197.98585","2591.63681","467.64107","92.43651","323.56275","1560.18924","968.19642","80.45384","137.3519","946.40621","1113.82635","157.52406","495.56381","1418.56774","1110.84873","266.35138","83.04444","1701.3906","676.01845","405.31348","523.07715","5248.00572","5579.50699","1136.74293","334.33895","5961.00985","5618.30983","58.78629","53.32795","928.4267","144.23557"
"2023010204","105.77359","111.09569","1132.09904","261.74718","446.57642","647.48512","4351.83584","10089.09437","469.97965","152.18999","978.79833","347.39363","80.68565","682.71096","1220.61915","1301.57256","84.95509","161.35457","1429.17801","1280.07681","89.59602","252.21731","424.7102","1300.43934","258.62568","751.87122","2860.39159","1595.9536","659.17889","319.38117","4099.6506","3757.6712","710.95267","388.40859","3880.43541","4854.69304","28.99852","45.29259","867.74146","931.87621"
"2023010205","97.1521","102.80198","1457.355","46.53463","531.0949","265.36593","4842.41811","8614.77371","96.66501","57.61193","1478.12604","672.89452","341.93849","376.57591","576.1566","1362.94193","126.20261","144.07773","1287.04984","3326.07835","1430.15598","91.20565","1224.58996","603.7099","167.01915","171.13741","2489.24513","1493.44663","396.77982","299.2059","1961.25795","3717.61379","1193.2849","318.78987","6632.29944","3451.95965","0.00829","1.01172","0.06832","15.51699"
"2023010206","38.70623","41.69891","744.56903","144.79944","680.51851","344.60707","4170.54956","7894.92628","142.72982","38.77735","3327.59032","520.63531","224.33668","41.69533","1635.35541","831.14469","155.80222","59.80771","1450.07994","3318.46801","1462.00146","100.10428","2495.67941","1544.31524","112.00188","150.13714","1554.99065","2023.40299","300.82825","329.56731","3010.52557","2392.30681","697.15975","850.43185","7756.78279","5280.42697","0","0","0","0"
"2023010207","131.82419","9.55084","812.44909","37.93636","277.33933","233.30924","3062.70013","2562.19956","102.24584","51.52076","3317.31098","1022.45688","49.78912","79.79663","1246.18864","457.46999","37.96268","35.01569","1218.12507","624.28493","56.47889","137.9763","962.61099","529.89517","95.77578","86.33931","1131.31524","1683.84104","447.6398","280.23134","3514.75605","2918.62817","1164.95409","707.80556","7900.39216","4607.62892","0","0","0","0"
"2023010208","38.65844","1.11299","1192.99607","1.83982","121.17429","84.56834","2996.34757","1587.24908","47.42147","53.3115","1156.66871","1713.54998","29.37438","524.27253","1495.57671","821.9742","53.62465","200.53387","1109.60976","813.56138","62.7762","22.04826","1546.59696","998.23928","77.72526","77.00357","1382.3576","2038.60846","261.50588","70.58608","4319.79803","783.73627","687.19885","254.18079","6216.33373","3863.22027","0","0","0","0"
"2023010209","39.70539","2.8225","1018.42871","40.10983","69.16694","39.09075","2456.66214","1557.79721","23.71162","45.30785","895.76064","1105.13185","19.34699","74.25837","968.76186","1154.58095","81.44692","398.80732","1037.07372","874.12333","38.13104","22.02829","926.19927","876.75308","171.32291","27.62317","1814.6332","867.20369","119.04784","32.7095","2992.27359","1497.3775","402.43953","100.7009","3964.78265","1833.88232","0","0","0","0"
"2023010210","19.3455","1.75119","288.83083","17.7641","20.25191","19.89492","1095.53382","785.93759","14.31129","6.12976","435.48715","187.99502","1.79356","8.69712","18.73158","142.71314","33.5118","178.21528","226.0766","487.87077","3.99245","6.79424","128.86362","168.28784","51.0256","21.09813","1368.15973","929.79351","79.36676","11.24338","1527.04051","46.51865","123.58573","40.93167","2274.68912","873.74033","0","0","0","0"
"2023010211","1.95909","0.11135","12.58204","0.19489","6.28309","38.31235","67.41261","77.31363","0.56775","0.20887","0.83928","0.43973","0.62919","0.66071","4.8483","0.70762","51.47636","1.37968","369.23446","2.76748","7.87272","2.54354","12.83517","4.60117","45.88207","4.45896","225.43405","118.84851","76.30872","17.57485","1020.7011","47.31139","61.98015","65.34349","1741.15661","1343.0905","0","0","0","0"
"2023010212","0","0","0","0","5.36064","2.89663","17.78095","32.74664","2.1367","0.86092","5.17954","6.94604","0.38019","0.08429","8.13533","0.39445","23.75912","21.15618","236.01312","200.25025","2.78602","4.18326","57.74246","10.99372","12.36606","3.76914","90.52999","70.77384","22.68169","5.65904","33.07636","9.3679","53.52781","44.5991","775.64489","1982.17155","0","0","0","0"
"2023010213","0","0","0","0","0.55802","0.00928","1.0336","0.0086","1.00958","6.69288","5.29298","102.53016","0.01366","0.00181","0.01514","0.00191","14.70376","2.79903","461.60587","36.57816","0.19845","0.71307","0.26796","0.85934","39.9413","5.2954","747.92396","81.51522","11.40471","25.37188","140.37266","413.01641","52.5269","34.11987","1292.36447","915.81973","0","0","0","0"
"2023010214","2.77875","0.99692","30.38819","4.91019","9.83828","7.82418","193.07321","142.71538","7.7444","0.45766","96.59421","1.61014","5.01104","2.5057","155.22814","3.17152","21.01004","4.91207","361.31339","62.76355","3.42982","4.99543","114.94413","8.7134","10.98148","12.32411","136.58849","478.83933","22.57195","18.71286","376.41298","159.86964","81.72692","50.93924","2109.74479","1078.49507","0","0","0","0"
